"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-01","4.7",",,W",,,,,"0.0","T,,X,2400","0.0",",,X","0.0",",,X",,,"12.8",",,X","5.0",",,X","  100",",,X","   90",",,X","8.9",",,X","11.2",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-02","4.5",",,W",,,,,"10.9",",,X,2400","0.0",",,X","0.0",",,X",,,"10.6",",,X","2.8",",,X","  180",",,X","  200",",,X","13.0",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-03","2.3",",,W",,,,,"0.8",",,X,2400","0.0",",,X","0.0",",,X",,,"11.7",",,X","7.2",",,X","  180",",,X","  170",",,X","5.4",",,X","6.7",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-04","4.7",",,W",,,,,"20.3",",,X,2400","0.0",",,W","0.0",",,X",,,"12.2",",,X","5.6",",,X","  180",",,X","  190",",,X","10.7",",,X","14.8",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-05","6.1",",,W",,,,,"1.3",",,X,2400","0.0",",,X","0.0",",,X",,,"8.9",",,X","2.8",",,X","  200",",,X","  220",",,X","10.7",",,X","16.5",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-06","2.2",",,W",,,,,"2.5",",,X,2400","0.0",",,X","0.0",",,X",,,"4.4",",,X","2.2",",,X","  180",",,X","  180",",,X","4.5",",,X","6.3",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-07","2.3",",,W",,,,,"0.0","T,,X,2400","0.0",",,X","0.0",",,X",,,"7.2",",,X","2.8",",,X","  170",",,X","  180",",,X","5.4",",,X","6.3",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-08","2.0",",,W",,,,,"0.0",",,X,2400","0.0",",,X","0.0",",,X",,,"10.0",",,X","2.8",",,X","  160",",,X","  200",",,X","4.5",",,X","6.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-09","3.4",",,W",,,,,"4.3",",,X,2400","0.0",",,X","0.0",",,X",,,"9.4",",,X","5.0",",,X","  200",",,X","  200",",,X","6.7",",,X","8.9",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","47.44467","-122.31442","112.5","2012-01-10","3.4",",,W",,,,,"1.0",",,X,2400","0.0",",,X","0.0",",,X",,,"6.1",",,X","0.6",",,X","   20",",,X","   30",",,X","8.9",",,X","10.7",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
